TF_id,input_meanMotifScore,bg_meanMotifScore,pvalue,padj,qvalue,rank
LEC2,0.7995853489979268,0.073,3.146297247476921e-302,1.6046115962132297e-299,7.341360244112815e-300,1
GSE94307.HEC1.Col-0_seedling_12d,0.6744989633724948,0.30766666666666664,1.7210672979443344e-67,8.760232546536662e-65,2.0079118476017237e-65,2
GSE48081.KAN1.Col-0_seedling_10d-rep1,0.7712508638562543,0.44,2.084784652452194e-55,1.0590706034457146e-52,1.621499174129484e-53,3
GSE26722.REV.Col-0_seedling_10d-DEX-90min,0.572218382861092,0.2743333333333333,1.0092310581654372e-54,5.116801464898767e-52,5.887181172631717e-53,4
GSE84483.FIE.Col_whole-plant_30h,0.4367657221838286,0.183,1.9884876141379444e-49,1.0061747327538e-46,9.279608865977073e-48,5
GSE60141.FUS3.Col-0_leaves_tnt_col,0.09744298548721493,0.007666666666666666,5.0237158216842754e-49,2.536976489950559e-46,1.9536672639883293e-47,6
GSE85922.WRKY18.Col-0_seedling_12d,0.7982031789910159,0.5113333333333333,7.556534081997741e-46,3.808493177326861e-43,2.518844693999247e-44,7
GSE20176.AP1.Col_apical-meristem_DEX,0.5266067726330339,0.2673333333333333,1.0768086045444407e-45,5.416347280858537e-43,3.140691763254619e-44,8
GSE94486.ARR10.Col-0_seedling_3d-6BA-4h,0.6067726330338632,0.3253333333333333,1.624210117826418e-45,8.15353479148862e-43,4.210915120290714e-44,9
GSE85922.WRKY18.Col-0_seedling_12d-flg22,0.7055977885279889,0.43866666666666665,3.3858775689581625e-43,1.6963246620480394e-40,7.900380994235712e-42,10
GSE52400.BBM.Col-0_somatic-embryo,0.8203178991015895,0.53,7.053023836141796e-43,3.526511918070898e-40,1.496095965242199e-41,11
GSE76571.TFL2.Col-0_seedling_14,0.47615756738078785,0.24433333333333335,2.6698452217066818e-42,1.3322527656316342e-39,5.191365708874104e-41,12
GSE85922.WRKY40.Col-0_seedling_12d-flg22,0.6924671734623359,0.435,3.753611894756186e-41,1.8692987235885804e-38,6.737252118793153e-40,13
GSE80566.AT5G50360.Col-0_seedling_4d-DEX-6h,0.8693849343469247,0.5976666666666667,2.5449714709628605e-40,1.2648508210685416e-37,4.241619118271434e-39,14
GSE46986.SEP3.Ler_inflorescence_4w-8d,0.5756738078783691,0.318,4.105895193466225e-39,2.0365240159592478e-36,6.38694807872524e-38,15
GSE80564.ABF4.Col-0_seedling_3d-ABA,0.8154803040774016,0.5656666666666667,6.148441216576051e-37,3.043478402205145e-34,8.966476774173407e-36,16
GSE94486.ARR10.Col-0_seedling_3d-mock-4h,0.6496199032480995,0.389,2.092724131164753e-36,1.033805720795388e-33,2.872366454539857e-35,17
GSE80564.HAT22.Col-0_seedling_3d-EtOH,0.7532826537664132,0.5036666666666667,8.781334913523027e-35,4.329198112366852e-32,1.1383211924937257e-33,18
GSE94486.ARR1.Col-0_seedling_3d-mock-4h-LD,0.47062888735314445,0.255,5.2287652871542165e-34,2.5725525212798745e-31,6.421290703522722e-33,19
GSE78727.RPL.Ler-0_inflorescence-apices,0.5715272978576365,0.3273333333333333,8.616265377603303e-34,4.230586300403222e-31,1.0052309607203854e-32,20
GSE94486.ARR1.Col-0_seedling_3d-6BA-4h,0.34139599170698,0.154,8.860154106812449e-33,4.3414755123381e-30,9.844615674236054e-32,21
GSE80564.ATHB-6.Col-0_seedling_3d-EtOH,0.6731167933655839,0.428,2.1297228093163958e-32,1.0414344537557176e-29,2.258796918971935e-31,22
GSE80564.MYB44.Col-0_seedling_3d-EtOH,0.8438147892190739,0.593,2.4628599004041387e-32,1.2018756313972197e-29,2.4985535221491263e-31,23
GSE80564.GBF2.Col-0_seedling_3d-EtOH,0.89426399447132,0.6523333333333333,2.795587802720973e-32,1.3614512599251138e-29,2.7179325859787236e-31,24
GSE85922.WRKY33.Col-0_seedling_12d-flg22,0.7684865238424327,0.5246666666666666,7.734357013876284e-32,3.758897508743874e-29,7.218733212951198e-31,25
GSE80566.RBOHJ.Col-0_seedling_4d-DEX-6h,0.8458880442294402,0.5973333333333334,9.584802401074289e-32,4.64862916452103e-29,8.601745744553849e-31,26
GSE80564.GBF2.Col-0_seedling_3d-ABA,0.9156876295784382,0.672,1.3173950834003565e-31,6.376192203657725e-29,1.1384895782472215e-30,27
GSE46986.SEP3.Ler_inflorescence_4w-4d,0.51209398756047,0.297,2.226637550842396e-31,1.0754659370568774e-28,1.8555312923686633e-30,28
GSE80564.GBF3.Col-0_seedling_3d-EtOH,0.9136143745680718,0.6806666666666666,2.9128266826056558e-31,1.403982461015926e-28,2.3436536526712173e-30,29
GSE80564.GBF3.Col-0_seedling_3d-ABA,0.8458880442294402,0.6036666666666667,3.198621378199327e-31,1.5385368829138764e-28,2.4878166274883654e-30,30
GSE94486.ARR12.Col-0_seedling_3d-mock-4h,0.8299930891499654,0.56466666666666665,6.157810001144569e-31,2.955748800549393e-28,4.634910753549675e-30,31
GSE66289.WRKY33.Col-0_leaves_4w-Bc,0.6786454733932273,0.45266666666666666,6.233855246056107e-30,2.9860166628608755e-27,4.5455194502492446e-29,32
GSE80564.ABF1.Col-0_seedling_3d-ABA,0.861782999308915,0.628,1.0772165435288939e-29,5.149095078068113e-27,7.61668263101238e-29,33
GSE80564.HAT22.Col-0_seedling_3d-ABA,0.8189357290946786,0.5876666666666667,3.674771276067071e-29,1.752865898683993e-26,2.5219018561244606e-28,34
GSE68193.PIF4.Col-0_seedling_5d,0.7131997235659986,0.4756666666666667,4.2151705153411386e-29,2.006421165302382e-26,2.8101136768940926e-28,35
GSE52400.BBM.Col-0_whole-embryogenic-seedling,0.9260539046302695,0.7096666666666667,1.071231359238738e-28,5.0883489563840057e-26,6.943166217288116e-28,36
GSE43283.PIF1.Col-0_seedling_3d,0.2778161713890809,0.124,6.797713161854524e-28,3.2221160387190446e-25,4.2868461381064565e-27,37
GSE108455.AGL8.Ler_gynoecium_6w,0.6510020732550104,0.4236666666666667,4.107075417546121e-27,1.9426466724993155e-24,2.5218884142827057e-26,38
GSE95562.FIE.Ws_whole-plant_30h-wt,0.15549412577747063,0.04933333333333333,4.6020648720379425e-27,2.1721746196019087e-24,2.7533721456637263e-26,39
GSE80564.MYB3.Col-0_seedling_3d-EtOH,0.6786454733932273,0.447,4.989148219308803e-27,2.3498888112944464e-24,2.9103364612634685e-26,40
GSE80564.ABF4.Col-0_seedling_3d-EtOH,0.6599861782999309,0.4563333333333333,7.847317106195518e-27,3.6882390399118935e-24,4.465952824664116e-26,41
GSE94486.ARR1.Col-0_seedling_3d-mock-4h-etiolated,0.2591568762957844,0.10866666666666666,1.1952997230550345e-26,5.605955701128112e-24,6.640554016972414e-26,42
GSE94486.ARR12.Col-0_seedling_3d-6BA-4h,0.48721492743607464,0.27266666666666667,1.3792783070571753e-25,6.45502247702758e-23,7.484455929767618e-25,43
GSE80564.ATHB-5.Col-0_seedling_3d-EtOH,0.8832066344160332,0.6686666666666666,7.628309615533704e-25,3.5624205904542397e-22,4.045315705207267e-24,44
GSE80564.MYB3.Col-0_seedling_3d-ABA,0.8092605390463027,0.589,1.3088687363054232e-24,6.099328311183272e-22,6.786726780842935e-24,45
GSE64245.LFY.Col-0_seedling_15d-LFY,0.5044920525224602,0.298,2.1465338393126638e-24,9.981382352803886e-22,1.0888215126948293e-23,46
GSE14600.SEP3.Col-0_inflorescence_5-7w,0.3614374568071873,0.19966666666666666,2.4588664263311828e-24,1.1409140218176689e-21,1.2207138286750552e-23,47
GSE80564.ABF3.Col-0_seedling_3d-ABA,0.9205252246026261,0.7336666666666667,1.9957279824063738e-23,9.24022055854151e-21,9.701455470030984e-23,48
GSE80564.ABF3.Col-0_seedling_3d-EtOH,0.8562543192812716,0.664,8.460207331041665e-23,3.908615786941249e-20,4.0286701576388883e-22,49
GSE80564.ANAC102.Col-0_seedling_3d-EtOH,0.626123013130615,0.425,1.9483538625449374e-22,8.981911306332161e-20,9.092318025209707e-22,50
GSE35059.PIF5.Col-0_seedling_14d,0.19695922598479612,0.09033333333333333,3.8326198119809477e-22,1.763005113511236e-19,1.753486188488015e-21,51
GSE80564.ABF1.Col-0_seedling_3d-EtOH,0.5438838977194195,0.348,9.278685236535093e-22,4.2589165235696076e-19,4.163512606137542e-21,52
GSE80564.MYB44.Col-0_seedling_3d-ABA,0.926744989633725,0.736,1.89653002905646e-21,8.686107533078587e-19,8.349503272575608e-21,53
GSE94486.ARR1.Col-0_seedling_3d-6BA-72h,0.9302004146510021,0.7566666666666667,8.377054554172917e-21,3.828313931257023e-18,3.6197149308154584e-20,54
GSE60142.ABI5.Col-0_seedling_36h-ypet,0.4996544574982723,0.315,1.8610003991410263e-20,8.48616182008308e-18,7.895153208477081e-20,55
GSE43284.PIF4.Col-0_seedling_3d,0.14236351071181755,0.05333333333333334,5.10577612369573e-20,2.3231281362815572e-17,2.127406718206554e-19,56
GSE108960.EZA1.Col-0_seedling_10d,0.11541119557705598,0.03966666666666667,5.1984870884745735e-20,2.3601131381674564e-17,2.1280356502527494e-19,57
GSE80564.ATHB-5.Col-0_seedling_3d-ABA,0.8590186592950932,0.6723333333333333,5.684484455003977e-20,2.5750714581168018e-17,2.286861562357922e-19,58
GSE80564.ANAC102.Col-0_seedling_3d-ABA,0.6703524533517623,0.479,6.190103526958554e-20,2.797926794185266e-17,2.4480635417350213e-19,59
GSE99587.NFYB9.Ws-0_seeds-bent-cotyledon-stage,0.8845888044229441,0.6843333333333333,1.2564652896349193e-19,5.666658456253486e-17,4.886253904135797e-19,60
GSE80564.ATHB-7.Col-0_seedling_3d-EtOH,0.7249481686247409,0.5306666666666666,1.5072997784390963e-19,6.782849002975933e-17,5.765627567799821e-19,61
GSE94486.ARR14.Col-0_seedling_3d-6BA-72h,0.9212163096060816,0.7343333333333333,1.5903311589907413e-19,7.140586903868428e-17,5.9851172650189185e-19,62
GSE80564.NAC032.Col-0_seedling_3d-EtOH,0.19834139599170697,0.09033333333333333,2.308495244066013e-19,1.0342058693415739e-16,8.549982385429679e-19,63
GSE24568.LFY.Col-0_seedling_15d,0.33586731167933653,0.185,3.4589286470105697e-19,1.5461411052137246e-16,1.2610677358892701e-18,64
GSE80564.NAC032.Col-0_seedling_3d-ABA,0.7671043538355218,0.5836666666666667,3.6941568269097973e-19,1.6475939448017695e-16,1.3261075788906964e-18,65
GSE39215.PIF3.Col-0_seedling_2d,0.1465100207325501,0.059,7.646568348007606e-19,3.4027229148633847e-16,2.703332244245113e-18,66
GSE80564.DREB2A.Col-0_seedling_3d-ABA,0.8058051140290255,0.5976666666666667,1.8227349832178403e-18,8.092943325487211e-16,6.3478332748880005e-18,67
GSE36361.APRR5.Col-0_whole-plant_18d,0.4637180373185902,0.29133333333333333,2.4400752740289666e-18,1.0809533463948322e-15,8.372807312844492e-18,68
GSE80564.ZAT6.Col-0_seedling_3d-EtOH,0.8776779543883898,0.6956666666666667,2.630461061027399e-18,1.1626637889741104e-15,8.895278950334199e-18,69
GSE59187.RGA.Ler_seedling_11d,0.2681409813407049,0.142,1.5682861128008084e-17,6.916141757451565e-15,5.227620376002695e-17,70
GSE108455.AGL8.Col-0_Inflorescence-meristem_6w,0.7470628887353145,0.566,2.585766236635493e-17,1.137737144119617e-14,8.497823312886597e-17,71
GSE51770.ARF.Col-0_seedling-etiolated_5d,0.2066344160331721,0.09766666666666667,7.125108704949061e-17,3.127922721472638e-14,2.309063006233492e-16,72
GSE80564.BHLH122.Col-0_seedling_3d-EtOH,0.6744989633724948,0.4876666666666667,1.084372155680861e-16,4.749550041882171e-14,3.46602972135435e-16,73
GSE35315.PIF4.Col-0_seedling-etiolated,0.17069799585349,0.07866666666666666,1.4992024279584666e-16,6.551514610178499e-14,4.727214862932101e-16,74
GSE80564.AT5G04760.Col-0_seedling_3d-EtOH,0.8977194194885971,0.7306666666666667,2.9543237019620023e-16,1.2880851340554329e-13,9.191229294992896e-16,75
GSE54881.SVP.Col-0_seedling_2w-FLC,0.3697304768486524,0.23366666666666666,1.0975235850339365e-15,4.774227594897624e-13,3.3695899540515592e-15,76
GSE85922.WRKY33.Col-0_seedling_12d,0.308914996544575,0.18766666666666668,1.246067366653949e-15,5.407932371278139e-13,3.775961717133179e-15,77
GSE21301.AP2.Col-0_inflorescence,0.13337940566689702,0.06166666666666667,1.282568033502158e-15,5.553519585064345e-13,3.836741980562011e-15,78
GSE68193.PIF5.Col-0_seedling_5d,0.39599170697995856,0.25,1.3372232551001483e-15,5.776804462032641e-13,3.949604550928708e-15,79
GSE95301.AGO1.Col-0_seedling_10d-wt,0.9530062197650311,0.734,2.0390743387578496e-15,8.788410400046331e-13,5.9473001547103936e-15,80
GSE80564.RD26.Col-0_seedling_3d-EtOH,0.8576364892881825,0.6953333333333334,3.472157468821455e-15,1.4930277115932255e-12,1.0002099704423944e-14,81
GSE80564.ATHB-6.Col-0_seedling_3d-ABA,0.8382861091914305,0.68533333333333335,1.4487194480431204e-14,6.2150064321049864e-12,4.12237241313083e-14,82
GSE94926.RGA.Ler_inflorescence-apices,0.5003455425017277,0.3453333333333333,1.6154885153152763e-14,6.914290845549383e-12,4.541533978797965e-14,83
GSE80564.ZAT6.Col-0_seedling_3d-ABA,0.8977194194885971,0.7496666666666667,3.775842423874649e-14,1.612284714994475e-11,1.0488451177429581e-13,84
GSE108960.CLF.Col-0_seedling_10d,0.07049067035245335,0.023666666666666666,2.1729830126416086e-13,9.256907633853253e-11,5.965051407251475e-13,85
GSE79554.AGL8.Col-0xLer_gynoecium-silique-fruit_stage12-16,0.17208016586040084,0.09266666666666666,2.4676690429147895e-13,1.0487593432387856e-10,6.695226085427722e-13,86
GSE46986.SEP3.Ler_inflorescence_4w-2d,0.22460262612301313,0.13266666666666665,2.854128376620988e-13,1.2101504316872988e-10,7.65475043538196e-13,87
GSE70533.CCA1.Ws-2_seedling_14d-LD,0.2895646164478231,0.18166666666666667,3.53132437819678e-13,1.493750211977238e-10,9.363360093703583e-13,88
GSE85922.WRKY40.Col-0_seedling_12d,0.18590186592950933,0.103,4.809188475777319e-13,2.0294775367780285e-10,1.2608359299790725e-12,89
GSE95301.AGO1.Col-0_seedling_10d-mutant,0.995162404975812,0.789,9.902954374069546e-13,4.169143791483279e-10,2.567432615499512e-12,90
GSE80564.BHLH122.Col-0_seedling_3d-ABA,0.4063579820317899,0.27566666666666667,5.806914774729961e-12,2.4389042053865836e-9,1.4889525063410154e-11,91
GSE109149.WRKY18-33-40.Col-0_seedling_12d-wt-flg22-2h,0.6434001382170007,0.499,8.737269917544945e-12,3.660916095451332e-9,2.2159742544498043e-11,92
GSE80564.AT5G04760.Col-0_seedling_3d-ABA,0.9336558396682793,0.7973333333333333,1.040296867321319e-11,4.348440905403113e-9,2.6100638248205132e-11,93
GSE80564.HSFA6A.Col-0_seedling_3d-ABA,0.4035936420179682,0.274,2.1014539600920423e-11,8.763063013583817e-9,5.216375078242658e-11,94
GSE14600.SEP3.Ler_inflorescence_5-7w,0.29163787145818937,0.203,1.4093567195903997e-10,5.862923953496063e-8,3.4615779077658937e-10,95
GSE52175.LHY.Ws_seedling_2w-mutant,0.7519004837595025,0.6146666666666667,4.3884051829946984e-10,1.8211881509428e-7,1.0666262597556558e-9,96
GSE80564.ATHB-7.Col-0_seedling_3d-ABA,0.9136143745680718,0.7953333333333333,4.690853677059026e-10,1.9420134223024367e-7,1.1283840460279443e-9,97
GSE84483.BPC1.Col_whole-plant_30h,0.0995162404975812,0.04733333333333333,5.649359597262635e-10,2.3331855136694683e-7,1.3450856183958653e-9,98
GSE52175.LHY.Ws_seedling_2w-wt,0.248790601243953,0.164,9.629207612724462e-10,3.9672335364424787e-7,2.26951021175324e-9,99
GSE80564.NFYC2.Col-0_seedling_3d-EtOH,0.7346233586731168,0.5913333333333334,1.101114392818415e-9,4.5255801544836855e-7,2.5692669165763016e-9,100
GSE60142.ABI5.Col-0_seedling_36h-wt,0.2073255010366275,0.13066666666666665,2.0683806024552954e-9,8.480360470066711e-7,4.77843703537527e-9,101
GSE60141.SPL1.Col-0_leaves_tnt_colamp,0.11541119557705598,0.060333333333333336,3.290434090410056e-9,1.345787542977713e-6,7.52713680812758e-9,102
GSE80564.NFYC2.Col-0_seedling_3d-ABA,0.874913614374568,0.7433333333333333,5.191988362026292e-9,2.118331251706727e-6,1.1761785933392893e-8,103
GSE60141.BHLH122.Col-0_leaves_tnt_col,0.035245335176226675,0.01,8.175583902884764e-9,3.327462648474099e-6,1.834265619236966e-8,104
GSE60141.BIM2.Col-0_leaves_tnt_col,0.19419488597097442,0.125,1.3102335734184243e-8,5.319548308078803e-6,2.9116301631520542e-8,105
GSE60141.ZHD6.Col-0_leaves_tnt_colamp,0.28403593642017966,0.203,3.120328789437819e-8,1.2637331597223168e-5,6.86864827863671e-8,106
